code,query
"def printTemporalMemory(tm, outFile):
  
  table = PrettyTable([""Parameter name"", ""Value"", ])

  table.add_row([""columnDimensions"", tm.getColumnDimensions()])
  table.add_row([""cellsPerColumn"", tm.getCellsPerColumn()])
  table.add_row([""activationThreshold"", tm.getActivationThreshold()])
  table.add_row([""minThreshold"", tm.getMinThreshold()])
  table.add_row([""maxNewSynapseCount"", tm.getMaxNewSynapseCount()])
  table.add_row([""permanenceIncrement"", tm.getPermanenceIncrement()])
  table.add_row([""permanenceDecrement"", tm.getPermanenceDecrement()])
  table.add_row([""initialPermanence"", tm.getInitialPermanence()])
  table.add_row([""connectedPermanence"", tm.getConnectedPermanence()])
  table.add_row([""predictedSegmentDecrement"", tm.getPredictedSegmentDecrement()])

  print >>outFile, table.get_string().encode(""utf-8"")","Given an instance of TemporalMemory, print out the relevant parameters"
"def confirm_key(name, confirm_name, trafaret):
    
    def check_(value):
        first, second = None, None
        if name in value:
            first = value[name]
        else:
            yield name, t.DataError(), (name,)
        if confirm_name in value:
            second = value[confirm_name]
        else:
            yield confirm_name, t.DataError(), (confirm_name,)
        if not (first and second):
            return
        yield name, t.catch_error(trafaret, first), (name,)
        yield confirm_name, t.catch_error(trafaret, second), (confirm_name,)
        if first != second:
            yield confirm_name, t.DataError(.format(name)), (confirm_name,)
    return check_","confirm_key - takes `name`, `confirm_name` and `trafaret`.

    Checks if data['name'] equals data['confirm_name'] and both
    are valid against `trafaret`."
"def dehydrate_datetime(value):
    

    def seconds_and_nanoseconds(dt):
        if isinstance(dt, datetime):
            dt = DateTime.from_native(dt)
        zone_epoch = DateTime(1970, 1, 1, tzinfo=dt.tzinfo)
        t = dt.to_clock_time() - zone_epoch.to_clock_time()
        return t.seconds, t.nanoseconds

    tz = value.tzinfo
    if tz is None:
        
        value = utc.localize(value)
        seconds, nanoseconds = seconds_and_nanoseconds(value)
        return Structure(b""d"", seconds, nanoseconds)
    elif hasattr(tz, ""zone"") and tz.zone:
        
        seconds, nanoseconds = seconds_and_nanoseconds(value)
        return Structure(b""f"", seconds, nanoseconds, tz.zone)
    else:
        
        seconds, nanoseconds = seconds_and_nanoseconds(value)
        return Structure(b""F"", seconds, nanoseconds, tz.utcoffset(value).seconds)","Dehydrator for `datetime` values.

    :param value:
    :type value: datetime
    :return:"
"def _traverse_unobserved(stream,negative_filter,of):
  
  observed = set()
  for line in stream:
    name = PacBioReadName(_nameprog.match(line).group(1))
    if name.get_molecule() not in negative_filter: of.write(line)
    observed.add(name.get_molecule())
  return negative_filter|observed",Go through a stream and print out anything not in observed set
"def inject_scheme(self, b16_scheme):
        
        
        
        content_lines = self.content.splitlines()
        b16_scheme_lines = b16_scheme.splitlines()
        start_line = None
        for num, line in enumerate(content_lines):
            if not start_line:
                match = TEMP_NEEDLE.match(line)
                if match:
                    start_line = num + 1
            else:
                match = TEMP_END_NEEDLE.match(line)
                if match:
                    end_line = num

        
        new_content_lines = (content_lines[0:start_line]
                             + b16_scheme_lines
                             + content_lines[end_line:])
        self.content = .join(new_content_lines)",Inject string $b16_scheme into self.content.
"def GetInput(self):
    
    client_list = GetAllClients(token=self.token)
    logging.debug(""Got %d clients"", len(client_list))
    for client_group in collection.Batch(client_list, self.client_chunksize):
      for fd in aff4.FACTORY.MultiOpen(
          client_group,
          mode=""r"",
          aff4_type=aff4_grr.VFSGRRClient,
          token=self.token):
        if isinstance(fd, aff4_grr.VFSGRRClient):
          
          oldest_time = (time.time() - self.max_age) * 1e6
        if fd.Get(aff4_grr.VFSGRRClient.SchemaCls.PING) >= oldest_time:
          yield fd",Yield client urns.
"def _PromptUserForEncryptedVolumeCredential(
      self, scan_context, locked_scan_node, output_writer):
    
    credentials = credentials_manager.CredentialsManager.GetCredentials(
        locked_scan_node.path_spec)

    
    if locked_scan_node.type_indicator == (
        definitions.TYPE_INDICATOR_APFS_CONTAINER):
      line = 
    elif locked_scan_node.type_indicator == definitions.TYPE_INDICATOR_BDE:
      line = 
    elif locked_scan_node.type_indicator == definitions.TYPE_INDICATOR_FVDE:
      line = 
    else:
      line = 

    output_writer.WriteLine(line)

    credentials_list = list(credentials.CREDENTIALS)
    credentials_list.append()

    
    output_writer.WriteLine()
    output_writer.WriteLine()
    for index, name in enumerate(credentials_list):
      output_writer.WriteLine(.format(index + 1, name))
    output_writer.WriteLine()

    result = False
    while not result:
      output_writer.WriteString(
          )
      
      input_line = sys.stdin.readline()
      input_line = input_line.strip()

      if input_line in credentials_list:
        credential_identifier = input_line
      else:
        try:
          credential_identifier = int(input_line, 10)
          credential_identifier = credentials_list[credential_identifier - 1]
        except (IndexError, ValueError):
          output_writer.WriteLine(
              .format(input_line))
          continue

      if credential_identifier == :
        break

      getpass_string = 
      if sys.platform.startswith() and sys.version_info[0] < 3:
        
        
        getpass_string = self._EncodeString(getpass_string)

      credential_data = getpass.getpass(getpass_string)
      output_writer.WriteLine()

      result = self._source_scanner.Unlock(
          scan_context, locked_scan_node.path_spec, credential_identifier,
          credential_data)

      if not result:
        output_writer.WriteLine()
        output_writer.WriteLine()","Prompts the user to provide a credential for an encrypted volume.

    Args:
      scan_context (SourceScannerContext): the source scanner context.
      locked_scan_node (SourceScanNode): the locked scan node.
      output_writer (StdoutWriter): the output writer."
"def main(using_locale=(, ,)):
    
    all_ucs = (ucs for ucs in
               [unichr(val) for val in range(sys.maxunicode)]
               if is_named(ucs) and isnt_combining(ucs))

    libc_name = ctypes.util.find_library()
    if not libc_name:
        raise ImportError(""Canwcwidthwcswidth', None) is not None

    locale.setlocale(locale.LC_ALL, using_locale)

    for ucs in all_ucs:
        try:
            _is_equal_wcwidth(libc, ucs)
        except AssertionError as err:
            print(err)","Program entry point.

    Load the entire Unicode table into memory, excluding those that:

        - are not named (func unicodedata.name returns empty string),
        - are combining characters.

    Using ``locale``, for each unicode character string compare libc's
    wcwidth with local wcwidth.wcwidth() function; when they differ,
    report a detailed AssertionError to stdout."
"def get_submodules(module):
    
    if not inspect.ismodule(module):
        raise RuntimeError(
            
            )

    submodules = get_members(module, inspect.ismodule)

    module_path = list(getattr(module, , [None]))[0]

    if module_path is not None:
        for item in listdir(module_path):
            module_name = extract_module_name(osp.join(module_path, item))

            if module_name is not None:
                try:
                    submodules[module_name] = importlib.import_module(
                        .format(module_name), package=module.__name__)
                except ImportError:
                    
                    
                    pass

    return submodules","This function imports all sub-modules of the supplied module and returns a dictionary
    with module names as keys and the sub-module objects as values. If the supplied parameter
    is not a module object, a RuntimeError is raised.

    :param module: Module object from which to import sub-modules.
    :return: Dict with name-module pairs."
"def build(self, pre=None, shortest=False):
        
        if pre is None:
            pre = []

        if self.value is not None and rand.maybe():
            return utils.val(self.value, pre, shortest=shortest)

        length = super(String, self).build(pre, shortest=shortest)
        res = rand.data(length, self.charset)
        return res","Build the String instance

        :param list pre: The prerequisites list (optional, default=None)
        :param bool shortest: Whether or not the shortest reference-chain (most minimal) version of the field should be generated."
"def assess(model, reaction, flux_coefficient_cutoff=0.001, solver=None):
    
    reaction = model.reactions.get_by_any(reaction)[0]
    with model as m:
        m.objective = reaction
        if _optimize_or_value(m, solver=solver) >= flux_coefficient_cutoff:
            return True
        else:
            results = dict()
            results[] = assess_component(
                model, reaction, , flux_coefficient_cutoff)
            results[] = assess_component(
                model, reaction, , flux_coefficient_cutoff)
            return results","Assesses production capacity.

    Assesses the capacity of the model to produce the precursors for the
    reaction and absorb the production of the reaction while the reaction is
    operating at, or above, the specified cutoff.

    Parameters
    ----------
    model : cobra.Model
        The cobra model to assess production capacity for

    reaction : reaction identifier or cobra.Reaction
        The reaction to assess

    flux_coefficient_cutoff :  float
        The minimum flux that reaction must carry to be considered active.

    solver : basestring
        Solver name. If None, the default solver will be used.

    Returns
    -------
    bool or dict
        True if the model can produce the precursors and absorb the products
        for the reaction operating at, or above, flux_coefficient_cutoff.
        Otherwise, a dictionary of {'precursor': Status, 'product': Status}.
        Where Status is the results from assess_precursors and
        assess_products, respectively."
"def set_archive_layout_url(self, archive_id):
        
        url = self.api_url +  + self.api_key +  + archive_id + 
        return url",this method returns the url to set the archive layout
"def has_mixture(val: Any) -> bool:
    
    getter = getattr(val, , None)
    result = NotImplemented if getter is None else getter()
    if result is not NotImplemented:
        return result

    
    return mixture(val, None) is not None","Returns whether the value has a mixture representation.

    Returns:
        If `val` has a `_has_mixture_` method and its result is not
        NotImplemented, that result is returned. Otherwise, if the value
        has a `_mixture_` method return True if that has a non-default value.
        Returns False if neither function exists."
"def apt_add_repository_from_apt_string(apt_string, apt_file):
    

    apt_file_path =  % apt_file

    if not file_contains(apt_file_path, apt_string.lower(), use_sudo=True):
        file_append(apt_file_path, apt_string.lower(), use_sudo=True)

        with hide(, ):
            sudo(""DEBIAN_FRONTEND=noninteractive apt-get update"")",adds a new repository file for apt
"def linkify_contactgroups_contacts(self, contacts):
        
        for contactgroup in self:
            mbrs = contactgroup.get_contacts()

            
            new_mbrs = []
            for mbr in mbrs:
                mbr = mbr.strip()  
                    continue
                member = contacts.find_by_name(mbr)
                
                if member is not None:
                    new_mbrs.append(member.uuid)
                else:
                    contactgroup.add_unknown_members(mbr)

            
            new_mbrs = list(set(new_mbrs))

            
            contactgroup.replace_members(new_mbrs)","Link the contacts with contactgroups

        :param contacts: realms object to link with
        :type contacts: alignak.objects.contact.Contacts
        :return: None"
"def sag_entropic_transport(a, b, M, reg, numItermax=10000, lr=None):
    

    if lr is None:
        lr = 1. / max(a / reg)
    n_source = np.shape(M)[0]
    n_target = np.shape(M)[1]
    cur_beta = np.zeros(n_target)
    stored_gradient = np.zeros((n_source, n_target))
    sum_stored_gradient = np.zeros(n_target)
    for _ in range(numItermax):
        i = np.random.randint(n_source)
        cur_coord_grad = a[i] * coordinate_grad_semi_dual(b, M, reg,
                                                          cur_beta, i)
        sum_stored_gradient += (cur_coord_grad - stored_gradient[i])
        stored_gradient[i] = cur_coord_grad
        cur_beta += lr * (1. / n_source) * sum_stored_gradient
    return cur_beta","Compute the SAG algorithm to solve the regularized discrete measures
        optimal transport max problem

    The function solves the following optimization problem:

    .. math::
        \gamma = arg\min_\gamma <\gamma,M>_F + reg\cdot\Omega(\gamma)

        s.t. \gamma 1 = a

             \gamma^T 1 = b

             \gamma \geq 0

    Where :

    - M is the (ns,nt) metric cost matrix
    - :math:`\Omega` is the entropic regularization term with :math:`\Omega(\gamma)=\sum_{i,j} \gamma_{i,j}\log(\gamma_{i,j})`
    - a and b are source and target weights (sum to 1)

    The algorithm used for solving the problem is the SAG algorithm
    as proposed in [18]_ [alg.1]


    Parameters
    ----------

    a : np.ndarray(ns,),
        source measure
    b : np.ndarray(nt,),
        target measure
    M : np.ndarray(ns, nt),
        cost matrix
    reg : float number,
        Regularization term > 0
    numItermax : int number
        number of iteration
    lr : float number
        learning rate

    Returns
    -------

    v : np.ndarray(nt,)
        dual variable

    Examples
    --------

    >>> n_source = 7
    >>> n_target = 4
    >>> reg = 1
    >>> numItermax = 300000
    >>> a = ot.utils.unif(n_source)
    >>> b = ot.utils.unif(n_target)
    >>> rng = np.random.RandomState(0)
    >>> X_source = rng.randn(n_source, 2)
    >>> Y_target = rng.randn(n_target, 2)
    >>> M = ot.dist(X_source, Y_target)
    >>> method = ""ASGD""
    >>> asgd_pi = stochastic.solve_semi_dual_entropic(a, b, M, reg,
                                                      method, numItermax)
    >>> print(asgd_pi)

    References
    ----------

    [Genevay et al., 2016] :
                    Stochastic Optimization for Large-scale Optimal Transport,
                     Advances in Neural Information Processing Systems (2016),
                      arXiv preprint arxiv:1605.08527."
"def count_levels(value):
    
    if not isinstance(value, dict) or len(value) == 0:
        return 0
    elif len(value) == 0:
        return 0 
    else:
        nextval = list(value.values())[0]
        return 1 + count_levels(nextval)","Count how many levels are in a dict:
        scalar, list etc = 0
        {} = 0
        {'a':1} = 1
        {'a' : {'b' : 1}} = 2
        etc..."
"def cmd_logcat(self, *args):
        
        self.check_requirements()
        serial = self.serials[0:]
        if not serial:
            return
        filters = self.buildozer.config.getrawdefault(
            ""app"", ""android.logcat_filters"", """", section_sep="":"", split_char="" "")
        filters = "" "".join(filters)
        self.buildozer.environ[] = serial[0]
        self.buildozer.cmd(.format(adb=self.adb_cmd,
                                                           filters=filters),
                           cwd=self.buildozer.global_platform_dir,
                           show_output=True)
        self.buildozer.environ.pop(, None)",Show the log from the device
"def cmd_daemon(opts):
    
    if opts.data_dir is None:
        raise BlockadeError(""You must supply a data directory for the daemon"")
    rest.start(data_dir=opts.data_dir, port=opts.port, debug=opts.debug,
        host_exec=get_host_exec())",Start the Blockade REST API
"def lat_to_deg(lat):
    
    if isinstance(lat, str) and ( in lat):
        
        lat_deg = dmsStrToDeg(lat)
    else:
        lat_deg = float(lat)
    return lat_deg",Convert latitude to degrees.
"def pastdate(self, prompt, default=None):
        
        prompt = prompt if prompt is not None else ""Enter a past date""
        if default is not None:
            prompt += "" ["" + default.strftime() + ""]""
        prompt += 
        return self.input(curry(filter_pastdate, default=default), prompt)",Prompts user to input a date in the past.
"def children(self):
        
        children = []
        child_nodes = getattr(self.element, )
        for child in getattr(child_nodes, , []):
                children.append(AmazonBrowseNode(child))
        return children","This browse node's children in the browse node tree.

    :return:
    A list of this browse node's children in the browse node tree."
"def columnCount(self, qindex=QModelIndex()):
        
        if self.total_cols <= self.cols_loaded:
            return self.total_cols
        else:
            return self.cols_loaded",Array column number
"def maxlike(self,nseeds=50):
        
        mA_0,age0,feh0 = self.ic.random_points(nseeds)
        mB_0,foo1,foo2 = self.ic.random_points(nseeds)
        mC_0,foo3,foo4 = self.ic.random_points(nseeds)
        m_all = np.sort(np.array([mA_0, mB_0, mC_0]), axis=0)
        mA_0, mB_0, mC_0 = (m_all[0,:], m_all[1,:], m_all[2,:])

        d0 = 10**(rand.uniform(0,np.log10(self.max_distance),size=nseeds))
        AV0 = rand.uniform(0,self.maxAV,size=nseeds)

        

        costs = np.zeros(nseeds)

        if self.fit_for_distance:
            pfits = np.zeros((nseeds,7))
        else:
            pfits = np.zeros((nseeds,5))
            
        def fn(p): 
            return -1*self.lnpost(p)
        
        for i,mA,mB,mC,age,feh,d,AV in zip(range(nseeds),
                                    mA_0,mB_0,mC_0,age0,feh0,d0,AV0):
                if self.fit_for_distance:
                    pfit = scipy.optimize.fmin(fn,[mA,mB,mC,age,feh,d,AV],disp=False)
                else:
                    pfit = scipy.optimize.fmin(fn,[mA,mB,mC,age,feh],disp=False)
                pfits[i,:] = pfit
                costs[i] = self.lnpost(pfit)

        return pfits[np.argmax(costs),:]","Returns the best-fit parameters, choosing the best of multiple starting guesses

        :param nseeds: (optional)
            Number of starting guesses, uniformly distributed throughout
            allowed ranges.  Default=50.

        :return:
            list of best-fit parameters: ``[mA,mB,age,feh,[distance,A_V]]``.
            Note that distance and A_V values will be meaningless unless
            magnitudes are present in ``self.properties``."
"def get_value_from_tag(self, tag, attribute):
        

        
        
        value = tag.get(self._ns(attribute))
        if value is None:
            value = tag.get(attribute)

            if value:
                
                log.warning(""Failed to get the attribute  on tag  with namespace. ""
                            ""But found the same attribute without namespace!"".format(attribute, tag.tag))
        return value","Return the value of the android prefixed attribute in a specific tag.

        This function will always try to get the attribute with a android: prefix first,
        and will try to return the attribute without the prefix, if the attribute could not be found.
        This is useful for some broken AndroidManifest.xml, where no android namespace is set,
        but could also indicate malicious activity (i.e. wrongly repackaged files).
        A warning is printed if the attribute is found without a namespace prefix.

        If you require to get the exact result you need to query the tag directly:

        example::
            >>> from lxml.etree import Element
            >>> tag = Element('bar', nsmap={'android': 'http://schemas.android.com/apk/res/android'})
            >>> tag.set('{http://schemas.android.com/apk/res/android}foobar', 'barfoo')
            >>> tag.set('name', 'baz')
            # Assume that `a` is some APK object
            >>> a.get_value_from_tag(tag, 'name')
            'baz'
            >>> tag.get('name')
            'baz'
            >>> tag.get('foobar')
            None
            >>> a.get_value_from_tag(tag, 'foobar')
            'barfoo'

        :param lxml.etree.Element tag: specify the tag element
        :param str attribute: specify the attribute name
        :returns: the attribute's value, or None if the attribute is not present"
"def _fix_uncontracted(basis):
    

    for el in basis[].values():
        if  not in el:
            continue

        for sh in el[]:
            if len(sh[]) == 1 and len(sh[][0]) == 1:
                sh[][0][0] = 

            

    return basis",Forces the contraction coefficient of uncontracted shells to 1.0
"def _update_labels(self, label, crop_box, height, width):
        
        xmin = float(crop_box[0]) / width
        ymin = float(crop_box[1]) / height
        w = float(crop_box[2]) / width
        h = float(crop_box[3]) / height
        out = label.copy()
        out[:, (1, 3)] -= xmin
        out[:, (2, 4)] -= ymin
        out[:, (1, 3)] /= w
        out[:, (2, 4)] /= h
        out[:, 1:5] = np.maximum(0, out[:, 1:5])
        out[:, 1:5] = np.minimum(1, out[:, 1:5])
        coverage = self._calculate_areas(out[:, 1:]) * w * h / self._calculate_areas(label[:, 1:])
        valid = np.logical_and(out[:, 3] > out[:, 1], out[:, 4] > out[:, 2])
        valid = np.logical_and(valid, coverage > self.min_eject_coverage)
        valid = np.where(valid)[0]
        if valid.size < 1:
            return None
        out = out[valid, :]
        return out",Convert labels according to crop box
"def make_pilothole_cutter(self):
        
        
        
        
            .circle(pilothole_radius) \
            .extrude(self.length)",Make a solid to subtract from an interfacing solid to bore a pilot-hole.
"def force_ascii_values(data):
    
    return {
        k: v.encode().decode(, )
        for k, v in data.items()
    }",Ensures each value is ascii-only
"def start_timer(self, timer_id, timeout):
        
        self._logger.debug(.format(timer_id, self.id))
        self._driver._start_timer(timer_id, timeout, self)","Start a timer or restart an active one.

        The timeout is given in milliseconds. If a timer with the
        same name already exists, it is restarted with the specified timeout.
        Note that the timeout is intended as the minimum time until the timer's
        expiration, but may vary due to the state of the event queue and the
        load of the system."
"def wage(return_X_y=True):
    
    
    
    wage = pd.read_csv(PATH + , index_col=0)
    if return_X_y:
        X = wage[[, , ]].values
        X[:,-1] = np.unique(X[:,-1], return_inverse=True)[1]
        y = wage[].values
        return _clean_X_y(X, y)
    return wage","wage dataset

    Parameters
    ----------
    return_X_y : bool,
        if True, returns a model-ready tuple of data (X, y)
        otherwise, returns a Pandas DataFrame

    Returns
    -------
    model-ready tuple of data (X, y)
        OR
    Pandas DataFrame

    Notes
    -----
    X contains the year, age and education of each sampled person.
    The education category has been transformed to integers.

    y contains the wage.

    Source:
    https://github.com/JWarmenhoven/ISLR-python/blob/master/Notebooks/Data/Wage.csv"
"def decode_param(data):
    
    logger.debug(, data)
    header_len = struct.calcsize()
    partype, parlen = struct.unpack(, data[:header_len])

    pardata = data[header_len:parlen]
    logger.debug(, pardata)

    ret = {
        : partype,
    }

    if partype == 1023:
        vsfmt = 
        vendor, subtype = struct.unpack(vsfmt, pardata[:struct.calcsize(vsfmt)])
        ret[] = vendor
        ret[] = subtype
        ret[] = pardata[struct.calcsize(vsfmt):]
    else:
        ret[] = pardata,

    return ret, data[parlen:]","Decode any parameter to a byte sequence.

    :param data: byte sequence representing an LLRP parameter.
    :returns dict, bytes: where dict is {'Type': <decoded type>, 'Data':
        <decoded data>} and bytes is the remaining bytes trailing the bytes we
        could decode."
"def _html_find_urls(bytes, mimetype, base_url=None):
    

    def _recursive_tag_values(tag, values=[]):
        

        if hasattr(tag, ):
            for child in tag.children:
                if hasattr(child, ):
                    for key in child.attrs:
                        if isinstance(child.attrs[key], list):
                            for value in child.attrs[key]:
                                values.append(value)
                        elif isinstance(child.attrs[key], str):
                            values.append(child.attrs[key])

                    values = _recursive_tag_values(child, values)

        return values

    
    ascii_bytes = b.join(re.compile(b).findall(bytes))
    ascii_bytes = ascii_bytes.replace(b, b)

    
    urls = []

    
    soups = []
    soups.append(BeautifulSoup(ascii_bytes, ))
    try:
        soups.append(BeautifulSoup(urllib.parse.unquote(str(ascii_bytes)), ))
    except:
        pass

    
    for soup in soups:

        
        
        script_urls = []
        script_tags = soup.find_all()
        for script_tag in script_tags:
            for tag_content in script_tag.contents:
                if  in tag_content.lower():
                    
                    
                    
                    code_begin = tag_content.rfind()
                    code_end = tag_content.find()
                    code = tag_content[code_begin+1:code_end]
                    
        
        else:
            urls = _recursive_tag_values(soup)
            urls += css_urls
            urls += meta_urls
            urls += script_urls

        
        
        
        
        for s in soup.stripped_strings:
            if is_valid(s):
                urls.append(s)

        
        
        
        
        urls = [u.strip() for u in urls]

        

    return urls",This function finds URLs inside of valid HTML bytes.
"def sqllab(self):
        
        d = {
            : config.get(),
            : self.common_bootsrap_payload(),
        }
        return self.render_template(
            ,
            entry=,
            bootstrap_data=json.dumps(d, default=utils.json_iso_dttm_ser),
        )",SQL Editor
